id,name,value
__export__.fal_ref_data_V72-025-030-KN-ET-M04,V72-025-030-KN-ET-M04,VBL-025-L1-ET-KN-M04-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M05,V72-025-030-KN-ET-M05,VBL-025-L1-ET-KN-M05-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M06,V72-025-030-KN-ET-M06,VBL-025-L1-ET-KN-M06-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M07,V72-025-030-KN-ET-M07,VBL-025-L1-ET-KN-M07-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M08,V72-025-030-KN-ET-M08,VBL-025-L1-ET-KN-M08-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M09,V72-025-030-KN-ET-M09,VBL-025-L1-ET-KN-M09-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M10,V72-025-030-KN-ET-M10,VBL-025-L1-ET-KN-M10-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M11,V72-025-030-KN-ET-M11,VBL-025-L1-ET-KN-M11-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M12,V72-025-030-KN-ET-M12,VBL-025-L1-ET-KN-M12-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M01,V72-025-030-KN-IT-M01,VBL-025-L1-IT-KN-M01-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M02,V72-025-030-KN-IT-M02,VBL-025-L1-IT-KN-M02-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
